time,frametime,MsDeltaBetweenFrames,LoadMarker,TestMarker
47.8242111,19.3352,1.5285,0,0.1
47.844221,20.0099,0.6747,0,0.1
47.8640428,19.8218,0.1881,0,0.1
47.8840676,20.0248,0.203,0,0.1
47.9039837,19.9161,0.1087,0,0.1
47.9237947,19.811,0.1051,0,0.1
47.9439457,20.151,0.34,0,0.1
47.9636081,19.6624,0.4886,0,0.1
47.9836699,20.0618,0.3994,0,0.1
48.003762,20.0921,0.0303,0,0.1
48.0240378,20.2758,0.1837,0,0.1
48.0439401,19.9023,0.3735,0,0.1
48.0640676,20.1275,0.2252,0,0.1
48.0838497,19.7821,0.3454,0,0.1
48.1041903,20.3406,0.5585,0,0.1
48.1238464,19.6561,0.6845,0,0.1
48.1439324,20.086,0.4299,0,0.1
48.1635271,19.5947,0.4913,0,0.1
48.1837708,20.2437,0.649,0,0.1
48.203978,20.2072,0.0365,0,0.1
48.2231873,19.2093,0.9979,0,0.1
48.243219,20.0317,0.8224,0,0.1
48.2634032,20.1842,0.1525,0,0.1
48.2828778,19.4746,0.7096,0,0.1
48.3026317,19.7539,0.2793,0,0.1
48.3226175,19.9858,0.2319,0,0.1
48.3425013,19.8838,0.102,0,0.1
48.3621555,19.6542,0.2296,0,0.1
48.3821252,19.9697,0.3155,0,0.1
48.4016385,19.5133,0.4564,0,0.1
48.421447,19.8085,0.2952,0,0.1
48.4409553,19.5083,0.3002,0,0.1
48.4608631,19.9078,0.3995,0,0.1
48.4804497,19.5866,0.3212,0,0.1
48.5001956,19.7459,0.1593,0,0.1
48.5196666,19.471,0.2749,0,0.1
48.5396569,19.9903,0.5193,0,0.1
48.5592455,19.5886,0.4017,0,0.1
48.5789902,19.7447,0.1561,0,0.1
48.5984202,19.43,0.3147,0,0.1
48.6179796,19.5594,0.1294,0,0.1
48.6376073,19.6277,0.0683,0,0.1
48.6570861,19.4788,0.1489,0,0.1
48.6770044,19.9183,0.4395,0,0.1
48.6972969,20.2925,0.3742,0,0.1
48.7174595,20.1626,0.1299,0,0.1
48.7365391,19.0796,1.083,0,0.1
48.7559161,19.377,0.2974,0,0.1
48.7753735,19.4574,0.0804,0,0.1
48.7950977,19.7242,0.2668,0,0.1
48.814532,19.4343,0.2899,0,0.1
48.8347266,20.1946,0.7603,0,0.1
48.8545788,19.8522,0.3424,0,0.1
48.8737964,19.2176,0.6346,0,0.1
48.8929861,19.1897,0.0279,0,0.1
48.9122502,19.2641,0.0744,0,0.1
48.9311841,18.9339,0.3302,0,0.1
48.9503435,19.1594,0.2255,0,0.1
48.9702846,19.9411,0.7817,0,0.1
48.9894153,19.1307,0.8104,0,0.1
49.0092833,19.868,0.7373,0,0.1
49.0287485,19.4652,0.4028,0,0.1
49.0481604,19.4119,0.0533,0,0.1
49.0675675,19.4071,0.0048,0,0.1
49.0871777,19.6102,0.2031,0,0.1
49.1067999,19.6222,0.012,0,0.1
49.1257395,18.9396,0.6826,0,0.1
49.1450204,19.2809,0.3413,0,0.1
49.1652362,20.2158,0.9349,0,0.1
49.1846,19.3638,0.852,0,0.1
49.204154,19.554,0.1902,0,0.1
49.2230221,18.8681,0.6859,0,0.1
49.2420279,19.0058,0.1377,0,0.1
49.2612883,19.2604,0.2546,0,0.1
49.2805049,19.2166,0.0438,0,0.1
49.3004076,19.9027,0.6861,0,0.1
49.3188017,18.3941,1.5086,0,0.1
49.3381197,19.318,0.9239,0,0.1
49.357395,19.2753,0.0427,0,0.1
49.3767662,19.3712,0.0959,0,0.1
49.3964005,19.6343,0.2631,0,0.1
49.4151646,18.7641,0.8702,0,0.1
49.4349781,19.8135,1.0494,0,0.1
49.4545208,19.5427,0.2708,0,0.1
49.4736777,19.1569,0.3858,0,0.1
49.4927119,19.0342,0.1227,0,0.1
49.5121424,19.4305,0.3963,0,0.1
49.531218,19.0756,0.3549,0,0.1
49.5510007,19.7827,0.7071,0,0.1
49.5700176,19.0169,0.7658,0,0.1
49.5901371,20.1195,1.1026,0,0.1
49.6093741,19.237,0.8825,0,0.1
49.6296604,20.2863,1.0493,0,0.1
49.6488642,19.2038,1.0825,0,0.1
49.6678696,19.0054,0.1984,0,0.1
49.6870318,19.1622,0.1568,0,0.1
49.7057925,18.7607,0.4015,0,0.1
49.7248159,19.0234,0.2627,0,0.1
49.7438425,19.0266,0.0032,0,0.1
49.763471,19.6285,0.6019,0,0.1
49.7825036,19.0326,0.5959,0,0.1
49.8014275,18.9239,0.1087,0,0.1
49.8210944,19.6669,0.743,0,0.1
49.8399057,18.8113,0.8556,0,0.1
49.8596092,19.7035,0.8922,0,0.1
49.878465,18.8558,0.8477,0,0.1
49.8972764,18.8114,0.0444,0,0.1
49.9163438,19.0674,0.256,0,0.1
49.9357932,19.4494,0.382,0,0.1
49.9552389,19.4457,0.0037,0,0.1
49.9757846,20.5457,1.1,0,0.1
49.993919,18.1344,2.4113,0,0.1
50.0134805,19.5615,1.4271,0,0.1
50.032865,19.3845,0.177,0,0.1
50.0520309,19.1659,0.2186,0,0.1
50.0704783,18.4474,0.7185,0,0.1
50.0894638,18.9855,0.5381,0,0.1
50.1079208,18.457,0.5285,0,0.1
50.1255619,17.6411,0.8159,0,0.1
50.1427761,17.2142,0.4269,0,0.1
50.159448,16.6719,0.5423,0,0.1
50.1759841,16.5361,0.1358,0,0.1
50.1918519,15.8678,0.6683,0,0.1
50.2071445,15.2926,0.5752,0,0.1
50.2221107,14.9662,0.3264,0,0.1
50.2370312,14.9205,0.0457,0,0.1
50.251958,14.9268,0.0063,0,0.1
50.2671733,15.2153,0.2885,0,0.1
50.2815555,14.3822,0.8331,0,0.1
50.2964531,14.8976,0.5154,0,0.1
50.3107359,14.2828,0.6148,0,0.1
50.3254321,14.6962,0.4134,0,0.1
50.3399618,14.5297,0.1665,0,0.1
50.3548519,14.8901,0.3604,0,0.1
50.3689839,14.132,0.7581,0,0.1
50.3834132,14.4293,0.2973,0,0.1
50.39762,14.2068,0.2225,0,0.1
50.4122375,14.6175,0.4107,0,0.1
50.4267373,14.4998,0.1177,0,0.1
50.4412818,14.5445,0.0447,0,0.1
50.4559112,14.6294,0.0849,0,0.1
50.4707794,14.8682,0.2388,0,0.1
50.4852431,14.4637,0.4045,0,0.1
50.4996192,14.3761,0.0876,0,0.1
50.5145888,14.9696,0.5935,0,0.1
50.5286819,14.0931,0.8765,0,0.1
50.5433896,14.7077,0.6146,0,0.1
50.5578528,14.4632,0.2445,0,0.1
50.5730591,15.2063,0.7431,0,0.1
50.5879115,14.8524,0.3539,0,0.1
50.6023226,14.4111,0.4413,0,0.1
50.6173524,15.0298,0.6187,0,0.1
50.6325045,15.1521,0.1223,0,0.1
50.6471563,14.6518,0.5003,0,0.1
50.6620336,14.8773,0.2255,0,0.1
50.67708,15.0464,0.1691,0,0.1
50.6923053,15.2253,0.1789,0,0.1
50.7074789,15.1736,0.0517,0,0.1
50.7220982,14.6193,0.5543,0,0.1
50.736579,14.4808,0.1385,0,0.1
50.7516306,15.0516,0.5708,0,0.1
50.7669147,15.2841,0.2325,0,0.1
50.7814319,14.5172,0.7669,0,0.1
50.7959123,14.4804,0.0368,0,0.1
50.8108956,14.9833,0.5029,0,0.1
50.8261903,15.2947,0.3114,0,0.1
50.8419391,15.7488,0.4541,0,0.1
50.8571737,15.2346,0.5142,0,0.1
50.8721489,14.9752,0.2594,0,0.1
50.8865411,14.3922,0.583,0,0.1
