timestamp,hw.md.RenderBasic.SYSMEM_TRANSACTION_READ,hw.md.RenderBasic.SYSMEM_TRANSACTION_WRITE,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_READ,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_WRITE,hw.raw.RenderBasic.GPU_MEMORY_BYTE_READ,hw.raw.RenderBasic.GPU_TIME,hw.gpu.symbols.GpuTimestampFrequency,hw.raw.RenderBasic.GPU_MEMORY_BYTE_WRITE,hw.gal.d_gpu_busy,hw.gal.d_gti_busy,hw.gal.d_crystal_clock,hw.gal.d_gpu_sq_fifo_full,hw.gal.d_gpu_sq_fifo_stalled,hw.gal.d_gpu_ticks,hw.gal.d_unslice_freq_req,hw.gal.d_slice_freq_req,hw.gal.d_unslice_freq,hw.gal.d_slice_freq,hw.gal.ia_freq,hw.gal.ring_freq,hw.gal.qclk_ratio,hw.gal.qclk_base,hw.gal.gt_perf_limit,hw.gal.gtlimit_prochot,hw.gal.gtlimit_thermal,hw.gal.gtlimit_ratl,hw.gal.gtlimit_vr_thermalert,hw.gal.gtlimit_vr_tdc,hw.gal.gtlimit_other,hw.gal.gtlimit_max_vid,hw.gal.gtlimit_pbm_pl1,hw.gal.gtlimit_pbm_pl2,hw.gal.gtlimit_ineff_op,hw.gal.gtlimit_psys_crit,hw.gal.d_pkg_joules,hw.gal.d_pkg_temp,hw.gal.rc6_res,hw.gal.pg_req,hw.gal.pg_status,hw.gal.ia_pstate_limit,hw.md.RenderBasic.GPU_MEMORY_BYTE_READ_RATE,"hw.md.RenderBasic.GPU_MEMORY_BYTE_WRITE_RATE
"
6237769,0,2640.330361,0,0,0,19230850.75,19200000,0,839866856,113164832,2147483668,607382773,85825450,2872986827,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480095,64,55073,40,2,255,0,0
6347042,0,2635.600743,0,0,0,19230926.21,19200000,0,839866856,113164832,2147483668,607382773,85825450,2916693584,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480159,64,55073,40,2,255,0,0
6456562,474.799123,4638.422206,155.22279,7167.640614,8043471.512,19230880.2,19200000,6777547.48,839868818,113166497,2147483668,607407508,85825450,2960498055,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480223,64,55073,40,2,255,0.016061,0.013533
6566116,2784.015189,10634.02523,675.46598,92456.68803,21301440.39,19230927.21,19200000,23686529.02,839873525,113170202,2147483668,607444369,85825450,3004318243,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480287,64,55073,40,2,255,0.042534,0.047297
6675130,467.82982,4568.220596,201.808942,49388.15198,5207459.592,19230851.08,19200000,9301520.906,839873525,113170202,2147483668,607444372,85825450,3047921849,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480415,64,55073,40,2,255,0.010398,0.018573
6784631,392.690478,4319.595255,100.455704,4301.330581,4798339.741,19230920.27,19200000,6981534.415,839874911,113171283,2147483668,607455233,85825450,3091718447,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645480543,64,55073,40,2,255,0.009581,0.013941
6895241,0,2639.905976,9.040774,28912.3949,80679.8662,19230874.24,19200000,1140719.646,839874911,113171283,2147483668,607455236,85825450,3135965566,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645482591,64,55073,40,2,255,0.000161,0.002278
7003580,0,2639.861915,46.151432,46.151432,2344.49275,19230923.31,19200000,2344.49275,839874911,113171283,2147483668,607455237,85825450,3179294619,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645484831,64,55073,40,2,255,0.000005,0.000005
7112728,0,2638.619123,18.323744,18.323744,2675.26661,19230851.69,19200000,0,839876092,113172158,2147483668,607465400,85825450,3222950161,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645486111,64,55073,40,2,255,0.000005,0
7222117,201.117114,3546.974559,118.841931,15129.492,1988774.008,19230809.31,19200000,4019572.352,839876092,113172158,2147483668,607465401,85825450,3266705332,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645486111,64,55073,40,2,255,0.003971,0.008026
