Delta_Time,Time,Running GPU Ticks,GT Effective Freq,GPU_Busy,GTI_Busy,GT Unslice Request Freq,GT Slice Request Freq,GT Slice Freq,GT Unslice Freq,CrystalClock,IA Freq,Ring Freq,SA Freq,PKG Reported Power,PKG Reported Temp,GT Temp,GTI Rd BW,GTI Wr BW,GTI Total BW,Perf Limited,GT RC6,PCIe SysFromDev Rd BW,PCIe SysToDev Wr BW,PCIe DevFromSys Rd BW,PCIe DevToSys Wr BW,PCIe Total BW,LoadMarker,TestMarker
0.108369,5.253596,2523014410,399.94169,0.712557097,0.574196495,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0.032929,0.044025,0.076954,0,0,2.12607E-05,0.006080558,8.56333E-05,0.000401,0.006588452,0,0
0.109486,5.363082,2566805870,399.9731473,0.919840893,0.655833623,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0.00007,0.001034,0.001104,0,0,8.18369E-06,0.001048097,0,0.000168935,0.001225216,0,0
0.109396,5.472478,2610561969,399.9789663,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0.010472,0.015731,0.026203,0,0,1.17006E-05,0.001646276,2.51563E-05,0.000276134,0.001959267,0,0
0.109199,5.581677,2654240009,399.9857142,0.11900109,0.11900109,6666.8,6666.8,0,0,2147483668,5100,0,0,0.035771848,64,NO CALC,0,0,0,0,0,0,0,0,0.000168793,0.000168793,0,0
0.109395,5.691072,2697995275,399.975008,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0.000014,0.000375,0.000389,0,0,0,0,0,0.00016849,0.00016849,0,0
0.109363,5.800435,2741739343,399.9896492,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0.750082295,64,NO CALC,0,0,0,0,0,0,0,0,0.00016854,0.00016854,0,0
0.109332,5.909767,2785467557,399.9580544,0.924184136,0.662852596,6666.8,6666.8,0,0,2147483668,5100,0,0,0.571653313,64,NO CALC,0.004858,0.007721,0.012579,0,0,8.78059E-06,0.000438444,1.28782E-05,0.00022771,0.000687813,0,0
0.109349,6.019116,2829205021,399.9804662,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0.000028,0.000853,0.000881,0,0,2.92641E-06,0.000849244,0,0.000168561,0.001020732,0,0
0.109456,6.128572,2872986827,399.9945732,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0,0,0,0,0,0,0,0,0.000168981,0.000168981,0,0
0.109273,6.237845,2916693584,399.9776432,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0.035747623,64,NO CALC,0,0,0,0,0,0,0,0,0.000168678,0.000168678,0,0
0.10952,6.347365,2960498055,399.9677776,1.492280862,1.266385135,6666.8,6666.8,0,0,2147483668,5100,0,0,0.035667001,64,NO CALC,0.016061,0.013533,0.029594,0,0,9.93426E-06,0.000458729,3.03871E-05,0.000296859,0.000795909,0,0
0.109554,6.456919,3004318243,399.9871114,3.578993921,2.817117586,6666.8,6666.8,0,0,2147483668,5100,0,0,0.035655932,64,NO CALC,0.042534,0.047297,0.089831,0,0,4.32298E-05,0.005917228,0.000178177,0.000680578,0.006819212,0,0
0.109014,6.565933,3047921849,399.9817088,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0.071665107,64,NO CALC,0.010398,0.018573,0.028971,0,0,1.29158E-05,0.003160842,2.99411E-05,0.000292366,0.003496065,0,0
0.109501,6.675434,3091718447,399.9652789,1.054362974,0.822342262,6666.8,6666.8,0,0,2147483668,5100,0,0,0.07134638,64,NO CALC,0.009581,0.013941,0.023522,0,0,6.42917E-06,0.000275285,2.51322E-05,0.000276454,0.000583301,0,0
0.11061,6.786044,3135965566,400.0281982,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,1.130096736,64,NO CALC,0.000161,0.002278,0.002439,0,0,5.7861E-07,0.001850393,0,0.000168954,0.002019926,0,0
0.108339,6.894383,3179294619,399.9395693,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,1.261953221,64,NO CALC,0.000005,0.000005,0.00001,0,0,2.95369E-06,2.95369E-06,0,0.000168951,0.000174859,0,0
0.109148,7.003531,3222950161,399.9664859,0.901320226,0.667785942,6666.8,6666.8,0,0,2147483668,5100,0,0,0.715771246,64,NO CALC,0.000005,0,0.000005,0,0,1.17272E-06,1.17272E-06,0,0.000168872,0.000171217,0,0
